Name,Year,Genre,Perspective,Console,Moby Score,Critics,Publishers,Developers,Multiplayer,Offline Players,Gameplay
Word Rescue,1992,Action,Side view,DOS,6.7,(16),"FormGen, Inc., Apogee Software, Ltd., 3D Realms Entertainment, Inc.","FormGen, Inc.",0.0,1.0,2D scrolling
Thimbleweed Park,2017,Adventure,3rd-person (Other),Windows,8.2,83% (54),"Terrible Toybox, Inc.","Terrible Toybox, Inc.",0.0,1.0,2D scrolling
Psychotoxic,2004,Action,1st-person,Windows,5.3,50% (23),Nuclearvision Entertainment GmbH,Nuclearvision Entertainment GmbH,0.0,1.0,Shooter
Nintendo Land with Luigi Wii Remote Plus,2013,Special edition,Physical extras,Wii U,,(1),,,0.0,1.0,
PlanetSide Arena,2019,Action,1st-person,Windows,,(1),Daybreak Game Company LLC,Daybreak Game Company LLC,0.0,1.0,Shooter
The Bugs Bunny Crazy Castle,1989,Action,Side view,Game Boy,6.6,61% (8),"Kotobuki System Co., Ltd.","Kotobuki System Co., Ltd.",0.0,1.0,2D scrolling
Bugs Bunny Collection,1997,Compilation,,Game Boy,,1 players,,,0.0,1.0,
PlanetSide 2,2012,Action,1st-person,Windows,8.2,83% (39),Sony Online Entertainment Inc.,Sony Online Entertainment Inc.,0.0,1.0,Persistent
Dennis the Menace,1993,Action,Side view,Game Boy,,,Citizen Software,Citizen Software,0.0,1.0,2D scrolling
Tōdō Ryūnosuke Tantei Nikki: Kohakuiro no Yuigon,1988,Adventure,1st-person,MSX,,3 players,"Riverhill Soft Inc., Masaya, ASCII Corporation",Riverhill Soft Inc.,0.0,1.0,Interwar
Crypto Miner Tycoon Simulator,2022,Simulation,Diagonal-down,Windows,,,Bigosaur d.o.o.,Bigosaur d.o.o.,0.0,1.0,Fixed / flip-screen
Jain no Ikenie: Mashikyū Tsukai Bianka,2018,Adventure,3rd-person (Other),Windows,,,Chaos-R,Chaos-R,0.0,1.0,Fixed / flip-screen
Jain no Ikenie: Shokushu-hime Altea,2018,Adventure,3rd-person (Other),Windows,,,Chaos-R,Chaos-R,0.0,1.0,Fixed / flip-screen
Goblin Lord Wants Me to Become a Virgin Wizard by ...,2023,Simulation,Diagonal-down,Windows,,,Happy Pillow,Happy Pillow,0.0,1.0,Point and select
Goblin Burrow: Fleshfloor Upgrade Data,2020,DLC / Add-on,Adult,Windows,,,,,0.0,1.0,"Audio (Music / SFX / Voice), Map / level, NPC / enemy, Story / mission"
Goblin Burrow,2020,Simulation,Diagonal-down,Windows,,,Peperoncino,Peperoncino,0.0,1.0,Anime / Manga
All Ashes and Illusions: Adult Patch,2022,DLC / Add-on,Adult,Windows,,,Ebi-hime,Ebi-hime,0.0,1.0,Story / mission
All Ashes and Illusions,2022,Adventure,1st-person,Windows,,,Ebi-hime,Ebi-hime,0.0,1.0,Fixed / flip-screen
All Idleness and Ephemera,2023,Adventure,3rd-person (Other),Windows,,,Ebi-hime,Ebi-hime,0.0,1.0,Fixed / flip-screen
Kuroinu: Redux,2023,Adventure,3rd-person (Other),Windows,,,Liquid,Liquid,0.0,1.0,Fixed / flip-screen
Grey Haven,2023,Action,Diagonal-down,Windows,,,Ninehectare Studio,Ninehectare Studio,0.0,1.0,Anime / Manga
Under Contract,2023,Action,Side view,Windows,,,Kinky Fridays,Kinky Fridays,0.0,1.0,Fixed / flip-screen
Tamas Awakening,2023,Adventure,1st-person,Windows,,,Whiteleaf Studio,Whiteleaf Studio,0.0,1.0,Fixed / flip-screen
